species,lifestage,url,shp_comp
cobia,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cobia_2025/FeatureServer/4,spatial_data
cobia,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cobia_2025/FeatureServer/5,spatial_data
cobia,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cobia_2025/FeatureServer/6,spatial_data
cuberasnapper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/0,spatial_data
cuberasnapper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/1,spatial_data
cuberasnapper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/2,spatial_data
cuberasnapper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/3,spatial_data
cuberasnapper,latejuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/4,spatial_data
cuberasnapper,adult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/5,spatial_data
cuberasnapper,spawningadult,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/cuberasnapper_2025/FeatureServer/6,spatial_data
gaggrouper,egg,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/0,spatial_data
gaggrouper,larvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/1,spatial_data
gaggrouper,postlarvae,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/2,spatial_data
gaggrouper,earlyjuvenile,https://portal.gulfcouncil.org/arcgis/rest/services/Hosted/gaggrouper_2025/FeatureServer/3,spatial_data
