"species","lifestage","habitatzone","habitattype","ecoregion","shapefile_name","pretty_name"
"bandedrudderfish","larvae","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"bandedrudderfish","larvae","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bandedrudderfish","larvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bandedrudderfish","postlarvae","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"bandedrudderfish","postlarvae","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"bandedrudderfish","postlarvae","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bandedrudderfish","postlarvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bandedrudderfish","earlyjuvenile","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"bandedrudderfish","earlyjuvenile","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"bandedrudderfish","earlyjuvenile","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bandedrudderfish","earlyjuvenile","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bandedrudderfish","latejuvenile","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"bandedrudderfish","latejuvenile","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"bandedrudderfish","latejuvenile","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bandedrudderfish","latejuvenile","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bandedrudderfish","adult","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"bandedrudderfish","adult","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"bandedrudderfish","adult","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bandedrudderfish","adult","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bandedrudderfish","spawningadult","near","wca","er1","wca_near_er1","ER1 Nearshore WCA"
"bandedrudderfish","spawningadult","near","wca","er2","wca_near_er2","ER2 Nearshore WCA"
"bandedrudderfish","spawningadult","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bandedrudderfish","spawningadult","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"blackfinsnapper","egg","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"blackfinsnapper","egg","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"blackfinsnapper","larvae","","","","",""
"blackfinsnapper","postlarvae","","","","",""
"blackfinsnapper","earlyjuvenile","near","hb","er1","hb_near_er1","ER1 Nearshore Hard Bottom"
"blackfinsnapper","earlyjuvenile","near","hb","er2","hb_near_er2","ER2 Nearshore Hard Bottom"
"blackfinsnapper","earlyjuvenile","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackfinsnapper","earlyjuvenile","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackfinsnapper","latejuvenile","near","hb","er1","hb_near_er1","ER1 Nearshore Hard Bottom"
"blackfinsnapper","latejuvenile","near","hb","er2","hb_near_er2","ER2 Nearshore Hard Bottom"
"blackfinsnapper","latejuvenile","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackfinsnapper","latejuvenile","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackfinsnapper","adult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
"blackfinsnapper","adult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"blackfinsnapper","adult","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackfinsnapper","adult","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackfinsnapper","adult","off","sb","er1","sb_off_er1","ER1 Offshore Soft Bottom"
"blackfinsnapper","adult","off","sb","er2","sb_off_er2","ER2 Offshore Soft Bottom"
"blackfinsnapper","spawningadult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
"blackfinsnapper","spawningadult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"blackfinsnapper","spawningadult","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackfinsnapper","spawningadult","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackgrouper","egg","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"blackgrouper","egg","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"blackgrouper","larvae","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"blackgrouper","larvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"blackgrouper","postlarvae","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"blackgrouper","postlarvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"blackgrouper","earlyjuvenile","est","sav","er1","sav_est_er1","ER1 Estuarine SAV"
"blackgrouper","earlyjuvenile","est","sav","er2","sav_est_er2","ER2 Estuarine SAV"
"blackgrouper","earlyjuvenile","near","sav","er1","sav_near_er1","ER1 Nearshore SAV"
"blackgrouper","earlyjuvenile","near","sav","er2","sav_near_er2","ER2 Nearshore SAV"
"blackgrouper","latejuvenile","est","reef","er1","reef_est_er1","ER1 Estuarine Reef"
"blackgrouper","latejuvenile","est","reef","er2","reef_est_er2","ER2 Estuarine Reef"
"blackgrouper","latejuvenile","est","hb","er1","hb_est_er1","ER1 Estuarine Hard Bottom"
"blackgrouper","latejuvenile","est","hb","er2","hb_est_er2","ER2 Estuarine Hard Bottom"
"blackgrouper","latejuvenile","est","mangrove","er1","mangrove_est_er1","ER1 Estuarine Mangrove"
"blackgrouper","latejuvenile","est","mangrove","er2","mangrove_est_er2","ER2 Estuarine Mangrove"
"blackgrouper","latejuvenile","near","reef","er1","reef_near_er1","ER1 Nearshore Reef"
"blackgrouper","latejuvenile","near","reef","er2","reef_near_er2","ER2 Nearshore Reef"
"blackgrouper","latejuvenile","near","hb","er1","hb_near_er1","ER1 Nearshore Hard Bottom"
"blackgrouper","latejuvenile","near","hb","er2","hb_near_er2","ER2 Nearshore Hard Bottom"
"blackgrouper","latejuvenile","near","mangrove","er1","mangrove_near_er1","ER1 Nearshore Mangrove"
"blackgrouper","latejuvenile","near","mangrove","er2","mangrove_near_er2","ER2 Nearshore Mangrove"
"blackgrouper","latejuvenile","off","reef","er1","reef_off_er1","ER1 Offshore Reef"
"blackgrouper","latejuvenile","off","reef","er2","reef_off_er2","ER2 Offshore Reef"
"blackgrouper","latejuvenile","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackgrouper","latejuvenile","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackgrouper","latejuvenile","off","mangrove","er1","mangrove_off_er1","ER1 Offshore Mangrove"
"blackgrouper","latejuvenile","off","mangrove","er2","mangrove_off_er2","ER2 Offshore Mangrove"
"blackgrouper","adult","near","reef","er1","reef_near_er1","ER1 Nearshore Reef"
"blackgrouper","adult","near","reef","er2","reef_near_er2","ER2 Nearshore Reef"
"blackgrouper","adult","near","hb","er1","hb_near_er1","ER1 Nearshore Hard Bottom"
"blackgrouper","adult","near","hb","er2","hb_near_er2","ER2 Nearshore Hard Bottom"
"blackgrouper","adult","off","reef","er1","reef_off_er1","ER1 Offshore Reef"
"blackgrouper","adult","off","reef","er2","reef_off_er2","ER2 Offshore Reef"
"blackgrouper","adult","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackgrouper","adult","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackgrouper","spawningadult","off","reef","er1","reef_off_er1","ER1 Offshore Reef"
"blackgrouper","spawningadult","off","reef","er2","reef_off_er2","ER2 Offshore Reef"
"blackgrouper","spawningadult","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"blackgrouper","spawningadult","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"blackgrouper","spawningadult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
"blackgrouper","spawningadult","off","shelf","er2","shelf_off_er2","ER2 Offshore Shelf/Slope Edge"
"bluelinetilefish","egg","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bluelinetilefish","egg","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bluelinetilefish","larvae","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bluelinetilefish","larvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bluelinetilefish","postlarvae","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bluelinetilefish","postlarvae","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bluelinetilefish","earlyjuvenile","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bluelinetilefish","earlyjuvenile","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bluelinetilefish","latejuvenile","off","wca","er1","wca_off_er1","ER1 Offshore WCA"
"bluelinetilefish","latejuvenile","off","wca","er2","wca_off_er2","ER2 Offshore WCA"
"bluelinetilefish","adult","off","hb","er1","hb_off_er1","ER1 Offshore Hard Bottom"
"bluelinetilefish","adult","off","hb","er2","hb_off_er2","ER2 Offshore Hard Bottom"
"bluelinetilefish","adult","off","sb","er1","sb_off_er1","ER1 Offshore Soft Bottom"
"bluelinetilefish","adult","off","sb","er2","sb_off_er2","ER2 Offshore Soft Bottom"
"bluelinetilefish","adult","off","shelf","er1","shelf_off_er1","ER1 Offshore Shelf/Slope Edge"
